x,y,relation
Urgency Change,Caused By CI,cuncurrency
Urgency Change,Update,cuncurrency
Urgency Change,Status Change,cuncurrency
Urgency Change,Description Update,cuncurrency
Urgency Change,Analysis/Research,cuncurrency
Urgency Change,Resolved,cuncurrency
Urgency Change,OO Response,independency
Urgency Change,Communication with customer,cuncurrency
Urgency Change,External Vendor Assignment,cuncurrency
Urgency Change,Pending vendor,cuncurrency
Urgency Change,Open,cuncurrency
Urgency Change,Communication with vendor,cuncurrency
Urgency Change,Reopen,independency
Urgency Change,Vendor Reference,independency
Urgency Change,Urgency Change,cuncurrency
Urgency Change,Impact Change,cuncurrency
Urgency Change,Quality Indicator Fixed,cuncurrency
Urgency Change,Problem Workaround,independency
Urgency Change,Problem Closure,independency
Urgency Change,Service Change,cuncurrency
Urgency Change,Affected CI Change,cuncurrency
Urgency Change,Referred,independency
Urgency Change,Vendor Reference Change,independency
Urgency Change,Incident reproduction,independency
Urgency Change,Quality Indicator,independency
Urgency Change,Notify By Change,cuncurrency
Urgency Change,Contact Change,cuncurrency
Urgency Change,Mail to Customer,cuncurrency
Urgency Change,Quality Indicator Set,cuncurrency
Urgency Change,Callback Request,independency
Urgency Change,External update,cuncurrency
Urgency Change,External Vendor Reassignment,independency
Urgency Change,alert stage 1,independency
Urgency Change,Dial-in,independency
Impact Change,Reassignment,cuncurrency
Impact Change,Update from customer,cuncurrency
Impact Change,Operator Update,cuncurrency
Impact Change,Assignment,cuncurrency
Impact Change,Closed,cuncurrency
Impact Change,Caused By CI,cuncurrency
Impact Change,Update,cuncurrency
Impact Change,Status Change,cuncurrency
Impact Change,Description Update,cuncurrency
Impact Change,Analysis/Research,cuncurrency
Impact Change,Resolved,independency
Impact Change,OO Response,independency
Impact Change,Communication with customer,cuncurrency
Impact Change,External Vendor Assignment,cuncurrency
Impact Change,Pending vendor,independency
Impact Change,Open,cuncurrency
Impact Change,Communication with vendor,cuncurrency
Impact Change,Reopen,cuncurrency
Impact Change,Vendor Reference,cuncurrency
Impact Change,Urgency Change,cuncurrency
Impact Change,Impact Change,cuncurrency
Impact Change,Quality Indicator Fixed,cuncurrency
Impact Change,Problem Workaround,independency
Impact Change,Problem Closure,independency
Impact Change,Service Change,cuncurrency
Impact Change,Affected CI Change,cuncurrency
Impact Change,Referred,independency
Impact Change,Vendor Reference Change,cuncurrency
Impact Change,Incident reproduction,independency
Impact Change,Quality Indicator,independency
Impact Change,Notify By Change,cuncurrency
Impact Change,Contact Change,cuncurrency
Impact Change,Mail to Customer,cuncurrency
Impact Change,Quality Indicator Set,cuncurrency
Impact Change,Callback Request,independency
Impact Change,External update,independency
Impact Change,External Vendor Reassignment,independency
Impact Change,alert stage 1,independency
Impact Change,Dial-in,independency
Quality Indicator Fixed,Reassignment,cuncurrency
Quality Indicator Fixed,Update from customer,cuncurrency
Quality Indicator Fixed,Operator Update,cuncurrency
Quality Indicator Fixed,Assignment,cuncurrency
Quality Indicator Fixed,Closed,cuncurrency
Quality Indicator Fixed,Caused By CI,cuncurrency
Quality Indicator Fixed,Update,cuncurrency
Quality Indicator Fixed,Status Change,cuncurrency
Quality Indicator Fixed,Description Update,cuncurrency
Quality Indicator Fixed,Analysis/Research,cuncurrency
Quality Indicator Fixed,Resolved,cuncurrency
Quality Indicator Fixed,OO Response,independency
Quality Indicator Fixed,Communication with customer,cuncurrency
Quality Indicator Fixed,External Vendor Assignment,cuncurrency
Quality Indicator Fixed,Pending vendor,cuncurrency
Quality Indicator Fixed,Open,cuncurrency
Quality Indicator Fixed,Communication with vendor,cuncurrency
Quality Indicator Fixed,Reopen,cuncurrency
Quality Indicator Fixed,Vendor Reference,independency
Quality Indicator Fixed,Urgency Change,cuncurrency
Quality Indicator Fixed,Impact Change,cuncurrency
Quality Indicator Fixed,Quality Indicator Fixed,cuncurrency
Quality Indicator Fixed,Problem Workaround,independency
Quality Indicator Fixed,Problem Closure,independency
Quality Indicator Fixed,Service Change,independency
Quality Indicator Fixed,Affected CI Change,cuncurrency
Quality Indicator Fixed,Referred,independency
Quality Indicator Fixed,Vendor Reference Change,independency
Quality Indicator Fixed,Incident reproduction,independency
Quality Indicator Fixed,Quality Indicator,independency
Quality Indicator Fixed,Notify By Change,cuncurrency
Quality Indicator Fixed,Contact Change,cuncurrency
Quality Indicator Fixed,Mail to Customer,cuncurrency
Quality Indicator Fixed,Quality Indicator Set,cuncurrency
Quality Indicator Fixed,Callback Request,independency
Quality Indicator Fixed,External update,independency
Quality Indicator Fixed,External Vendor Reassignment,independency
Quality Indicator Fixed,alert stage 1,independency
Quality Indicator Fixed,Dial-in,independency
Problem Workaround,Reassignment,cuncurrency
Problem Workaround,Update from customer,independency
Problem Workaround,Operator Update,cuncurrency
Problem Workaround,Assignment,cuncurrency
Problem Workaround,Closed,cuncurrency
Problem Workaround,Caused By CI,independency
Problem Workaround,Update,cuncurrency
Problem Workaround,Status Change,cuncurrency
Problem Workaround,Description Update,independency
Problem Workaround,Analysis/Research,independency
Problem Workaround,Resolved,cuncurrency
Problem Workaround,OO Response,independency
Problem Workaround,Communication with customer,cuncurrency
Problem Workaround,External Vendor Assignment,independency
Problem Workaround,Pending vendor,independency
Problem Workaround,Open,independency
Problem Workaround,Communication with vendor,independency
Problem Workaround,Reopen,independency
Problem Workaround,Vendor Reference,independency
Problem Workaround,Urgency Change,independency
Problem Workaround,Impact Change,independency
Problem Workaround,Quality Indicator Fixed,independency
Problem Workaround,Problem Workaround,cuncurrency
Problem Workaround,Problem Closure,independency
Problem Workaround,Service Change,independency
Problem Workaround,Affected CI Change,independency
Problem Workaround,Referred,independency
Problem Workaround,Vendor Reference Change,independency
Problem Workaround,Incident reproduction,independency
Problem Workaround,Quality Indicator,independency
Problem Workaround,Notify By Change,independency
Problem Workaround,Contact Change,independency
Problem Workaround,Mail to Customer,independency
Problem Workaround,Quality Indicator Set,independency
Problem Workaround,Callback Request,independency
Problem Workaround,External update,cuncurrency
Problem Workaround,External Vendor Reassignment,independency
Problem Workaround,alert stage 1,independency
Problem Workaround,Dial-in,independency
Problem Closure,Reassignment,cuncurrency
Problem Closure,Update from customer,cuncurrency
Problem Closure,Operator Update,cuncurrency
Problem Closure,Assignment,cuncurrency
Problem Closure,Closed,cuncurrency
Problem Closure,Caused By CI,independency
Problem Closure,Update,cuncurrency
Problem Closure,Status Change,cuncurrency
Problem Closure,Description Update,independency
Problem Closure,Analysis/Research,independency
Problem Closure,Resolved,cuncurrency
Problem Closure,OO Response,independency
Problem Closure,Communication with customer,cuncurrency
Problem Closure,External Vendor Assignment,independency
Problem Closure,Pending vendor,independency
Problem Closure,Open,independency
Problem Closure,Communication with vendor,independency
Problem Closure,Reopen,independency
Problem Closure,Vendor Reference,independency
Problem Closure,Urgency Change,independency
Problem Closure,Impact Change,independency
Problem Closure,Quality Indicator Fixed,independency
Problem Closure,Problem Workaround,independency
Problem Closure,Problem Closure,cuncurrency
Problem Closure,Service Change,independency
Problem Closure,Affected CI Change,independency
Problem Closure,Referred,independency
Problem Closure,Vendor Reference Change,independency
Problem Closure,Incident reproduction,independency
Problem Closure,Quality Indicator,independency
Problem Closure,Notify By Change,independency
Problem Closure,Contact Change,independency
Problem Closure,Mail to Customer,independency
Problem Closure,Quality Indicator Set,independency
Problem Closure,Callback Request,independency
Problem Closure,External update,independency
Problem Closure,External Vendor Reassignment,independency
Problem Closure,alert stage 1,independency
Problem Closure,Dial-in,independency
Service Change,Reassignment,cuncurrency
Service Change,Update from customer,cuncurrency
Service Change,Operator Update,cuncurrency
Service Change,Assignment,cuncurrency
Service Change,Closed,cuncurrency
Service Change,Caused By CI,cuncurrency
Service Change,Update,cuncurrency
Service Change,Status Change,cuncurrency
Service Change,Description Update,cuncurrency
Service Change,Analysis/Research,cuncurrency
Service Change,Resolved,independency
Service Change,OO Response,independency
Service Change,Communication with customer,independency
Service Change,External Vendor Assignment,independency
Service Change,Pending vendor,cuncurrency
Service Change,Open,cuncurrency
Service Change,Communication with vendor,cuncurrency
Service Change,Reopen,independency
Service Change,Vendor Reference,independency
Service Change,Urgency Change,cuncurrency
Service Change,Impact Change,cuncurrency
Service Change,Quality Indicator Fixed,independency
Service Change,Problem Workaround,independency
Service Change,Problem Closure,independency
Service Change,Service Change,independency
Service Change,Affected CI Change,cuncurrency
Service Change,Referred,independency
Service Change,Vendor Reference Change,independency
Service Change,Incident reproduction,independency
Service Change,Quality Indicator,independency
Service Change,Notify By Change,independency
Service Change,Contact Change,independency
Service Change,Mail to Customer,independency
Service Change,Quality Indicator Set,independency
Service Change,Callback Request,independency
Service Change,External update,independency
Service Change,External Vendor Reassignment,independency
Service Change,alert stage 1,independency
Service Change,Dial-in,independency
Affected CI Change,Reassignment,cuncurrency
Affected CI Change,Update from customer,cuncurrency
Affected CI Change,Operator Update,cuncurrency
Affected CI Change,Assignment,cuncurrency
Affected CI Change,Closed,cuncurrency
Affected CI Change,Caused By CI,cuncurrency
Affected CI Change,Update,cuncurrency
Affected CI Change,Status Change,cuncurrency
Affected CI Change,Description Update,cuncurrency
Affected CI Change,Analysis/Research,cuncurrency
Affected CI Change,Resolved,independency
Affected CI Change,OO Response,independency
Affected CI Change,Communication with customer,cuncurrency
Affected CI Change,External Vendor Assignment,cuncurrency
Affected CI Change,Pending vendor,independency
Affected CI Change,Open,cuncurrency
Affected CI Change,Communication with vendor,independency
Affected CI Change,Reopen,independency
Affected CI Change,Vendor Reference,independency
Affected CI Change,Urgency Change,cuncurrency
Affected CI Change,Impact Change,cuncurrency
Affected CI Change,Quality Indicator Fixed,cuncurrency
Affected CI Change,Problem Workaround,independency
Affected CI Change,Problem Closure,independency
Affected CI Change,Service Change,cuncurrency
Affected CI Change,Affected CI Change,independency
Affected CI Change,Referred,independency
Affected CI Change,Vendor Reference Change,independency
Affected CI Change,Incident reproduction,independency
Affected CI Change,Quality Indicator,independency
Affected CI Change,Notify By Change,cuncurrency
Affected CI Change,Contact Change,cuncurrency
Affected CI Change,Mail to Customer,independency
Affected CI Change,Quality Indicator Set,independency
Affected CI Change,Callback Request,independency
Affected CI Change,External update,independency
Affected CI Change,External Vendor Reassignment,independency
Affected CI Change,alert stage 1,independency
Affected CI Change,Dial-in,independency
Referred,Reassignment,cuncurrency
Referred,Update from customer,independency
Referred,Operator Update,cuncurrency
Referred,Assignment,cuncurrency
Referred,Closed,cuncurrency
Referred,Caused By CI,independency
Referred,Update,cuncurrency
Referred,Status Change,cuncurrency
Referred,Description Update,independency
Referred,Analysis/Research,cuncurrency
Referred,Resolved,independency
Referred,OO Response,independency
Referred,Communication with customer,independency
Referred,External Vendor Assignment,cuncurrency
Referred,Pending vendor,cuncurrency
Referred,Open,cuncurrency
Referred,Communication with vendor,cuncurrency
Referred,Reopen,independency
Referred,Vendor Reference,cuncurrency
Referred,Urgency Change,independency
Referred,Impact Change,independency
Referred,Quality Indicator Fixed,independency
Referred,Problem Workaround,independency
Referred,Problem Closure,independency
Referred,Service Change,independency
Referred,Affected CI Change,independency
Referred,Referred,cuncurrency
Referred,Vendor Reference Change,cuncurrency
Referred,Incident reproduction,independency
Referred,Quality Indicator,independency
Referred,Notify By Change,independency
Referred,Contact Change,independency
Referred,Mail to Customer,independency
Referred,Quality Indicator Set,independency
Referred,Callback Request,independency
Referred,External update,independency
Referred,External Vendor Reassignment,independency
Referred,alert stage 1,independency
Referred,Dial-in,independency
Vendor Reference Change,Reassignment,cuncurrency
Vendor Reference Change,Update from customer,independency
Vendor Reference Change,Operator Update,cuncurrency
Vendor Reference Change,Assignment,cuncurrency
Vendor Reference Change,Closed,cuncurrency
Vendor Reference Change,Caused By CI,cuncurrency
Vendor Reference Change,Update,cuncurrency
Vendor Reference Change,Status Change,cuncurrency
Vendor Reference Change,Description Update,cuncurrency
Vendor Reference Change,Analysis/Research,independency
Vendor Reference Change,Resolved,cuncurrency
Vendor Reference Change,OO Response,independency
Vendor Reference Change,Communication with customer,cuncurrency
Vendor Reference Change,External Vendor Assignment,cuncurrency
Vendor Reference Change,Pending vendor,independency
Vendor Reference Change,Open,cuncurrency
Vendor Reference Change,Communication with vendor,cuncurrency
Vendor Reference Change,Reopen,cuncurrency
Vendor Reference Change,Vendor Reference,cuncurrency
Vendor Reference Change,Urgency Change,independency
Vendor Reference Change,Impact Change,cuncurrency
Vendor Reference Change,Quality Indicator Fixed,independency
Vendor Reference Change,Problem Workaround,independency
Vendor Reference Change,Problem Closure,independency
Vendor Reference Change,Service Change,independency
Vendor Reference Change,Affected CI Change,independency
Vendor Reference Change,Referred,cuncurrency
Vendor Reference Change,Vendor Reference Change,cuncurrency
Vendor Reference Change,Incident reproduction,independency
Vendor Reference Change,Quality Indicator,independency
Vendor Reference Change,Notify By Change,independency
Vendor Reference Change,Contact Change,independency
Vendor Reference Change,Mail to Customer,independency
Vendor Reference Change,Quality Indicator Set,independency
Vendor Reference Change,Callback Request,independency
Vendor Reference Change,External update,independency
Vendor Reference Change,External Vendor Reassignment,cuncurrency
Vendor Reference Change,alert stage 1,independency
Vendor Reference Change,Dial-in,independency
Incident reproduction,Reassignment,cuncurrency
Incident reproduction,Update from customer,cuncurrency
Incident reproduction,Operator Update,cuncurrency
Incident reproduction,Assignment,cuncurrency
Incident reproduction,Closed,cuncurrency
Incident reproduction,Caused By CI,independency
Incident reproduction,Update,cuncurrency
Incident reproduction,Status Change,cuncurrency
Incident reproduction,Description Update,independency
Incident reproduction,Analysis/Research,cuncurrency
Incident reproduction,Resolved,independency
Incident reproduction,OO Response,independency
Incident reproduction,Communication with customer,cuncurrency
Incident reproduction,External Vendor Assignment,independency
Incident reproduction,Pending vendor,independency
Incident reproduction,Open,independency
Incident reproduction,Communication with vendor,cuncurrency
Incident reproduction,Reopen,cuncurrency
Incident reproduction,Vendor Reference,cuncurrency
Incident reproduction,Urgency Change,independency
Incident reproduction,Impact Change,independency
Incident reproduction,Quality Indicator Fixed,independency
Incident reproduction,Problem Workaround,independency
Incident reproduction,Problem Closure,independency
Incident reproduction,Service Change,independency
Incident reproduction,Affected CI Change,independency
Incident reproduction,Referred,independency
Incident reproduction,Vendor Reference Change,independency
Incident reproduction,Incident reproduction,cuncurrency
Incident reproduction,Quality Indicator,independency
Incident reproduction,Notify By Change,independency
Incident reproduction,Contact Change,independency
Incident reproduction,Mail to Customer,independency
Incident reproduction,Quality Indicator Set,cuncurrency
Incident reproduction,Callback Request,independency
Incident reproduction,External update,independency
Incident reproduction,External Vendor Reassignment,independency
Incident reproduction,alert stage 1,independency
Incident reproduction,Dial-in,independency
Quality Indicator,Reassignment,cuncurrency
Quality Indicator,Update from customer,cuncurrency
Quality Indicator,Operator Update,cuncurrency
Quality Indicator,Assignment,cuncurrency
Quality Indicator,Closed,cuncurrency
Quality Indicator,Caused By CI,cuncurrency
Quality Indicator,Update,cuncurrency
Quality Indicator,Status Change,cuncurrency
Quality Indicator,Description Update,cuncurrency
Quality Indicator,Analysis/Research,independency
Quality Indicator,Resolved,cuncurrency
Quality Indicator,OO Response,independency
Quality Indicator,Communication with customer,cuncurrency
Quality Indicator,External Vendor Assignment,cuncurrency
Quality Indicator,Pending vendor,cuncurrency
Quality Indicator,Open,cuncurrency
Quality Indicator,Communication with vendor,cuncurrency
Quality Indicator,Reopen,cuncurrency
Quality Indicator,Vendor Reference,independency
Quality Indicator,Urgency Change,independency
Quality Indicator,Impact Change,independency
Quality Indicator,Quality Indicator Fixed,independency
Quality Indicator,Problem Workaround,independency
Quality Indicator,Problem Closure,independency
Quality Indicator,Service Change,independency
Quality Indicator,Affected CI Change,independency
Quality Indicator,Referred,independency
Quality Indicator,Vendor Reference Change,independency
Quality Indicator,Incident reproduction,independency
Quality Indicator,Quality Indicator,cuncurrency
Quality Indicator,Notify By Change,independency
Quality Indicator,Contact Change,independency
Quality Indicator,Mail to Customer,independency
Quality Indicator,Quality Indicator Set,independency
Quality Indicator,Callback Request,independency
Quality Indicator,External update,independency
Quality Indicator,External Vendor Reassignment,independency
Quality Indicator,alert stage 1,independency
Quality Indicator,Dial-in,independency
Notify By Change,Reassignment,cuncurrency
Notify By Change,Update from customer,cuncurrency
Notify By Change,Operator Update,cuncurrency
Notify By Change,Assignment,cuncurrency
Notify By Change,Closed,cuncurrency
Notify By Change,Caused By CI,cuncurrency
Notify By Change,Update,cuncurrency
Notify By Change,Status Change,cuncurrency
Notify By Change,Description Update,cuncurrency
Notify By Change,Analysis/Research,cuncurrency
Notify By Change,Resolved,cuncurrency
Notify By Change,OO Response,independency
Notify By Change,Communication with customer,cuncurrency
Notify By Change,External Vendor Assignment,cuncurrency
Notify By Change,Pending vendor,cuncurrency
Notify By Change,Open,cuncurrency
Notify By Change,Communication with vendor,independency
Notify By Change,Reopen,cuncurrency
Notify By Change,Vendor Reference,independency
Notify By Change,Urgency Change,cuncurrency
Notify By Change,Impact Change,cuncurrency
Notify By Change,Quality Indicator Fixed,cuncurrency
Notify By Change,Problem Workaround,independency
Notify By Change,Problem Closure,independency
Notify By Change,Service Change,independency
Notify By Change,Affected CI Change,cuncurrency
Notify By Change,Referred,independency
Notify By Change,Vendor Reference Change,independency
Notify By Change,Incident reproduction,independency
Notify By Change,Quality Indicator,independency
Notify By Change,Notify By Change,independency
Notify By Change,Contact Change,independency
Notify By Change,Mail to Customer,independency
Notify By Change,Quality Indicator Set,independency
Notify By Change,Callback Request,independency
Notify By Change,External update,independency
Notify By Change,External Vendor Reassignment,independency
Notify By Change,alert stage 1,independency
Notify By Change,Dial-in,independency
Contact Change,Reassignment,cuncurrency
Contact Change,Update from customer,cuncurrency
Contact Change,Operator Update,cuncurrency
Contact Change,Assignment,cuncurrency
Contact Change,Closed,cuncurrency
Contact Change,Caused By CI,cuncurrency
Contact Change,Update,cuncurrency
Contact Change,Status Change,cuncurrency
Contact Change,Description Update,cuncurrency
Contact Change,Analysis/Research,independency
Contact Change,Resolved,independency
Contact Change,OO Response,independency
Contact Change,Communication with customer,cuncurrency
Contact Change,External Vendor Assignment,cuncurrency
Contact Change,Pending vendor,independency
Contact Change,Open,cuncurrency
Contact Change,Communication with vendor,independency
Contact Change,Reopen,cuncurrency
Contact Change,Vendor Reference,independency
Contact Change,Urgency Change,cuncurrency
Contact Change,Impact Change,cuncurrency
Contact Change,Quality Indicator Fixed,cuncurrency
Contact Change,Problem Workaround,independency
Contact Change,Problem Closure,independency
Contact Change,Service Change,independency
Contact Change,Affected CI Change,cuncurrency
Contact Change,Referred,independency
Contact Change,Vendor Reference Change,independency
Contact Change,Incident reproduction,independency
Contact Change,Quality Indicator,independency
Contact Change,Notify By Change,independency
Contact Change,Contact Change,independency
Contact Change,Mail to Customer,independency
Contact Change,Quality Indicator Set,independency
Contact Change,Callback Request,independency
Contact Change,External update,independency
Contact Change,External Vendor Reassignment,independency
Contact Change,alert stage 1,independency
Contact Change,Dial-in,independency
Mail to Customer,Reassignment,cuncurrency
Mail to Customer,Update from customer,cuncurrency
Mail to Customer,Operator Update,cuncurrency
Mail to Customer,Assignment,cuncurrency
Mail to Customer,Closed,cuncurrency
Mail to Customer,Caused By CI,cuncurrency
Mail to Customer,Update,cuncurrency
Mail to Customer,Status Change,cuncurrency
Mail to Customer,Description Update,cuncurrency
Mail to Customer,Analysis/Research,cuncurrency
Mail to Customer,Resolved,cuncurrency
Mail to Customer,OO Response,independency
Mail to Customer,Communication with customer,cuncurrency
Mail to Customer,External Vendor Assignment,cuncurrency
Mail to Customer,Pending vendor,cuncurrency
Mail to Customer,Open,cuncurrency
Mail to Customer,Communication with vendor,cuncurrency
Mail to Customer,Reopen,cuncurrency
Mail to Customer,Vendor Reference,independency
Mail to Customer,Urgency Change,cuncurrency
Mail to Customer,Impact Change,cuncurrency
Mail to Customer,Quality Indicator Fixed,cuncurrency
Mail to Customer,Problem Workaround,independency
Mail to Customer,Problem Closure,independency
Mail to Customer,Service Change,independency
Mail to Customer,Affected CI Change,independency
Mail to Customer,Referred,independency
Mail to Customer,Vendor Reference Change,independency
Mail to Customer,Incident reproduction,independency
Mail to Customer,Quality Indicator,independency
Mail to Customer,Notify By Change,independency
Mail to Customer,Contact Change,independency
Mail to Customer,Mail to Customer,cuncurrency
Mail to Customer,Quality Indicator Set,cuncurrency
Mail to Customer,Callback Request,cuncurrency
Mail to Customer,External update,independency
Mail to Customer,External Vendor Reassignment,independency
Mail to Customer,alert stage 1,independency
Mail to Customer,Dial-in,independency
Quality Indicator Set,Reassignment,cuncurrency
Quality Indicator Set,Update from customer,cuncurrency
Quality Indicator Set,Operator Update,cuncurrency
Quality Indicator Set,Assignment,cuncurrency
Quality Indicator Set,Closed,cuncurrency
Quality Indicator Set,Caused By CI,cuncurrency
Quality Indicator Set,Update,cuncurrency
Quality Indicator Set,Status Change,cuncurrency
Quality Indicator Set,Description Update,cuncurrency
Quality Indicator Set,Analysis/Research,cuncurrency
Quality Indicator Set,Resolved,cuncurrency
Quality Indicator Set,OO Response,independency
Quality Indicator Set,Communication with customer,cuncurrency
Quality Indicator Set,External Vendor Assignment,cuncurrency
Quality Indicator Set,Pending vendor,cuncurrency
Quality Indicator Set,Open,cuncurrency
Quality Indicator Set,Communication with vendor,cuncurrency
Quality Indicator Set,Reopen,independency
Quality Indicator Set,Vendor Reference,cuncurrency
Quality Indicator Set,Urgency Change,cuncurrency
Quality Indicator Set,Impact Change,cuncurrency
Quality Indicator Set,Quality Indicator Fixed,cuncurrency
Quality Indicator Set,Problem Workaround,independency
Quality Indicator Set,Problem Closure,independency
Quality Indicator Set,Service Change,independency
Quality Indicator Set,Affected CI Change,independency
Quality Indicator Set,Referred,independency
Quality Indicator Set,Vendor Reference Change,independency
Quality Indicator Set,Incident reproduction,cuncurrency
Quality Indicator Set,Quality Indicator,independency
Quality Indicator Set,Notify By Change,independency
Quality Indicator Set,Contact Change,independency
Quality Indicator Set,Mail to Customer,cuncurrency
Quality Indicator Set,Quality Indicator Set,cuncurrency
Quality Indicator Set,Callback Request,cuncurrency
Quality Indicator Set,External update,independency
Quality Indicator Set,External Vendor Reassignment,independency
Quality Indicator Set,alert stage 1,independency
Quality Indicator Set,Dial-in,independency
Callback Request,Reassignment,cuncurrency
Callback Request,Update from customer,independency
Callback Request,Operator Update,cuncurrency
Callback Request,Assignment,cuncurrency
Callback Request,Closed,cuncurrency
Callback Request,Caused By CI,independency
Callback Request,Update,cuncurrency
Callback Request,Status Change,cuncurrency
Callback Request,Description Update,cuncurrency
Callback Request,Analysis/Research,independency
Callback Request,Resolved,independency
Callback Request,OO Response,independency
Callback Request,Communication with customer,cuncurrency
Callback Request,External Vendor Assignment,independency
Callback Request,Pending vendor,independency
Callback Request,Open,independency
Callback Request,Communication with vendor,independency
Callback Request,Reopen,independency
Callback Request,Vendor Reference,independency
Callback Request,Urgency Change,independency
Callback Request,Impact Change,independency
Callback Request,Quality Indicator Fixed,independency
Callback Request,Problem Workaround,independency
Callback Request,Problem Closure,independency
Callback Request,Service Change,independency
Callback Request,Affected CI Change,independency
Callback Request,Referred,independency
Callback Request,Vendor Reference Change,independency
Callback Request,Incident reproduction,independency
Callback Request,Quality Indicator,independency
Callback Request,Notify By Change,independency
Callback Request,Contact Change,independency
Callback Request,Mail to Customer,cuncurrency
Callback Request,Quality Indicator Set,cuncurrency
Callback Request,Callback Request,independency
Callback Request,External update,independency
Callback Request,External Vendor Reassignment,independency
Callback Request,alert stage 1,independency
Callback Request,Dial-in,independency
External update,Reassignment,cuncurrency
External update,Update from customer,cuncurrency
External update,Operator Update,cuncurrency
External update,Assignment,cuncurrency
External update,Closed,cuncurrency
External update,Caused By CI,cuncurrency
External update,Update,cuncurrency
External update,Status Change,cuncurrency
External update,Description Update,independency
External update,Analysis/Research,cuncurrency
External update,Resolved,cuncurrency
External update,OO Response,independency
External update,Communication with customer,cuncurrency
External update,External Vendor Assignment,cuncurrency
External update,Pending vendor,independency
External update,Open,cuncurrency
External update,Communication with vendor,cuncurrency
External update,Reopen,independency
External update,Vendor Reference,independency
External update,Urgency Change,cuncurrency
External update,Impact Change,independency
External update,Quality Indicator Fixed,independency
External update,Problem Workaround,cuncurrency
External update,Problem Closure,independency
External update,Service Change,independency
External update,Affected CI Change,independency
External update,Referred,independency
External update,Vendor Reference Change,independency
External update,Incident reproduction,independency
External update,Quality Indicator,independency
External update,Notify By Change,independency
External update,Contact Change,independency
External update,Mail to Customer,independency
External update,Quality Indicator Set,independency
External update,Callback Request,independency
External update,External update,cuncurrency
External update,External Vendor Reassignment,independency
External update,alert stage 1,independency
External update,Dial-in,independency
External Vendor Reassignment,Reassignment,cuncurrency
External Vendor Reassignment,Update from customer,independency
External Vendor Reassignment,Operator Update,cuncurrency
External Vendor Reassignment,Assignment,cuncurrency
External Vendor Reassignment,Closed,cuncurrency
External Vendor Reassignment,Caused By CI,independency
External Vendor Reassignment,Update,cuncurrency
External Vendor Reassignment,Status Change,cuncurrency
External Vendor Reassignment,Description Update,cuncurrency
External Vendor Reassignment,Analysis/Research,independency
External Vendor Reassignment,Resolved,cuncurrency
External Vendor Reassignment,OO Response,independency
External Vendor Reassignment,Communication with customer,independency
External Vendor Reassignment,External Vendor Assignment,cuncurrency
External Vendor Reassignment,Pending vendor,cuncurrency
External Vendor Reassignment,Open,cuncurrency
External Vendor Reassignment,Communication with vendor,cuncurrency
External Vendor Reassignment,Reopen,independency
External Vendor Reassignment,Vendor Reference,cuncurrency
External Vendor Reassignment,Urgency Change,independency
External Vendor Reassignment,Impact Change,independency
External Vendor Reassignment,Quality Indicator Fixed,independency
External Vendor Reassignment,Problem Workaround,independency
External Vendor Reassignment,Problem Closure,independency
External Vendor Reassignment,Service Change,independency
External Vendor Reassignment,Affected CI Change,independency
External Vendor Reassignment,Referred,independency
External Vendor Reassignment,Vendor Reference Change,cuncurrency
External Vendor Reassignment,Incident reproduction,independency
External Vendor Reassignment,Quality Indicator,independency
External Vendor Reassignment,Notify By Change,independency
External Vendor Reassignment,Contact Change,independency
External Vendor Reassignment,Mail to Customer,independency
External Vendor Reassignment,Quality Indicator Set,independency
External Vendor Reassignment,Callback Request,independency
External Vendor Reassignment,External update,independency
External Vendor Reassignment,External Vendor Reassignment,independency
External Vendor Reassignment,alert stage 1,independency
External Vendor Reassignment,Dial-in,independency
alert stage 1,Reassignment,independency
alert stage 1,Update from customer,independency
alert stage 1,Operator Update,cuncurrency
alert stage 1,Assignment,independency
alert stage 1,Closed,cuncurrency
alert stage 1,Caused By CI,independency
alert stage 1,Update,independency
alert stage 1,Status Change,independency
alert stage 1,Description Update,independency
alert stage 1,Analysis/Research,independency
alert stage 1,Resolved,independency
alert stage 1,OO Response,independency
alert stage 1,Communication with customer,independency
alert stage 1,External Vendor Assignment,independency
alert stage 1,Pending vendor,independency
alert stage 1,Open,independency
alert stage 1,Communication with vendor,independency
alert stage 1,Reopen,independency
alert stage 1,Vendor Reference,independency
alert stage 1,Urgency Change,independency
alert stage 1,Impact Change,independency
alert stage 1,Quality Indicator Fixed,independency
alert stage 1,Problem Workaround,independency
alert stage 1,Problem Closure,independency
alert stage 1,Service Change,independency
alert stage 1,Affected CI Change,independency
alert stage 1,Referred,independency
alert stage 1,Vendor Reference Change,independency
alert stage 1,Incident reproduction,independency
alert stage 1,Quality Indicator,independency
alert stage 1,Notify By Change,independency
alert stage 1,Contact Change,independency
alert stage 1,Mail to Customer,independency
alert stage 1,Quality Indicator Set,independency
alert stage 1,Callback Request,independency
alert stage 1,External update,independency
alert stage 1,External Vendor Reassignment,independency
alert stage 1,alert stage 1,cuncurrency
alert stage 1,Dial-in,independency
Dial-in,Reassignment,independency
Dial-in,Update from customer,independency
Dial-in,Operator Update,cuncurrency
Dial-in,Assignment,cuncurrency
Dial-in,Closed,cuncurrency
Dial-in,Caused By CI,independency
Dial-in,Update,independency
Dial-in,Status Change,independency
